"PLANT_CODE","LONGITUDE_DECIMAL","LATITUDE_DECIMAL"
"FRAL4",-72.88148,42.45286
"FRAL4",-72.85234,42.33493
"FRAL4",-72.79833,43.15778
"FRAL4",-72.6505,42.21187
"FRAL4",-72.64621,42.22378
"FRAL4",-72.56625,42.81916
"FRAL4",-72.56619,42.81917
"FRAL4",-72.52389,43.345
"FRAL4",-72.51778,43.14306
"FRAL4",-72.48916,43.35033
"FRAL4",-72.4439,43.05397
"FRAL4",-72.4388,43.0701
"FRAL4",-72.41687,43.0702
"FRAL4",-72.41667,43.06778
"FRAL4",-72.41076,43.64602
"FRAL4",-72.41027,43.64062
"FRAL4",-72.41002,43.63881
"FRAL4",-72.40977,43.64169
"FRAL4",-72.40853,43.64205
"FRAL4",-72.40853,43.64637
"FRAL4",-72.4,43.01687
"FRAL4",-72.39617,43.25067
"FRAL4",-72.38866,43.3585
"FRAL4",-72.36747,43.03898
"FRAL4",-72.3275,42.67389
"FRAL4",-72.3225,42.67083
"FRAL4",-72.1896,42.42394
"FRAL4",-72.18242,42.40699
"FRAL4",-72.1655,42.46114
"FRAL4",-72.10575,42.41789
"FRAL4",-72.06278,42.40906
"FRAL4",-72.06255,41.8254
"FRAL4",-72.02592,42.43283
"FRAL4",-72.02433,42.43256
"FRAL4",-71.89139,42.17972
"FRAL4",-71.83833,41.331
"FRAL4",-71.83634,41.32949
"FRAL4",-71.83633,41.33
"FRAL4",-71.8297,42.4025
"FRAL4",-71.80533,41.33233
"FRAL4",-71.8045,41.3305
"FRAL4",-71.70757,42.37481
"FRAL4",-71.66103,42.56663
"FRAL4",-71.64875,42.61405
"FRAL4",-71.6064,41.7898
"FRAL4",-71.56524,43.45601
"FRAL4",-71.5494,44.5994
"FRAL4",-71.51669,42.25853
"FRAL4",-71.51117,42.25811
"FRAL4",-71.48476,42.33534
"FRAL4",-71.48043,42.37884
"FRAL4",-71.46975,42.09056
"FRAL4",-71.46939,42.09508
"FRAL4",-71.46912,42.32554
"FRAL4",-71.469,42.08981
"FRAL4",-71.45292,42.3504
"FRAL4",-71.44967,42.35115
"FRAL4",-71.44467,42.34318
"FRAL4",-71.42998,42.28082
"FRAL4",-71.42583,41.54139
"FRAL4",-71.40539,42.02283
"FRAL4",-71.38668,42.54529
"FRAL4",-71.38662,42.54675
"FRAL4",-71.38657,42.54924
"FRAL4",-71.38447,42.55125
"FRAL4",-71.38239,42.54044
"FRAL4",-71.38214,42.54205
"FRAL4",-71.3721,42.6613
"FRAL4",-71.36536,42.55309
"FRAL4",-71.36475,42.55347
"FRAL4",-71.36224,42.55585
"FRAL4",-71.35974,42.5565
"FRAL4",-71.3503,42.5508
"FRAL4",-71.34857,42.5543
"FRAL4",-71.34802,42.55957
"FRAL4",-71.34719,42.5502
"FRAL4",-71.34709,42.55163
"FRAL4",-71.34592,42.55656
"FRAL4",-71.34523,42.54298
"FRAL4",-71.34472,42.43806
"FRAL4",-71.3441,42.55387
"FRAL4",-71.34379,42.54265
"FRAL4",-71.34308,42.5561
"FRAL4",-71.34174,42.54124
"FRAL4",-71.34116,42.55034
"FRAL4",-71.34058,42.55405
"FRAL4",-71.33852,42.5547
"FRAL4",-71.33831,42.55584
"FRAL4",-71.33688,42.56079
"FRAL4",-71.33121,42.55722
"FRAL4",-71.33028,42.66
"FRAL4",-71.31672,42.10871
"FRAL4",-71.31472,42.57139
"FRAL4",-71.31376,42.53334
"FRAL4",-71.3111,42.1583
"FRAL4",-71.31,42.53806
"FRAL4",-71.27861,42.3875
"FRAL4",-71.27141,42.50901
"FRAL4",-71.211,42.11972
"FRAL4",-71.20194,42.52528
"FRAL4",-71.193,42.649
"FRAL4",-71.18889,42.58556
"FRAL4",-71.17894,42.44037
"FRAL4",-71.1753,42.69238
"FRAL4",-71.15625,42.6297
"FRAL4",-71.1555,42.0612
"FRAL4",-71.1544,42.63285
"FRAL4",-71.15402,42.6354
"FRAL4",-71.1265,42.48085
"FRAL4",-71.09905,42.69177
"FRAL4",-71.09278,42.06365
"FRAL4",-71.08208,42.07165
"FRAL4",-71.07723,42.14227
"FRAL4",-71.07707,42.142
"FRAL4",-71.07688,42.1421
"FRAL4",-71.07275,42.08043
"FRAL4",-71.07155,42.0793
"FRAL4",-71.07139,42.07841
"FRAL4",-71.07062,42.07822
"FRAL4",-71.06712,42.0723
"FRAL4",-71.06633,42.08655
"FRAL4",-71.06615,42.0863
"FRAL4",-71.06542,42.07165
"FRAL4",-71.04832,42.11037
"FRAL4",-71.04413,42.4909
"FRAL4",-71.04402,42.09092
"FRAL4",-71.04337,42.09847
"FRAL4",-71.04297,42.09875
"FRAL4",-71.04135,42.09013
"FRAL4",-71.04078,42.49601
"FRAL4",-71.03688,42.13472
"FRAL4",-71.01962,42.47869
"FRAL4",-71.01955,42.47978
"FRAL4",-71.0182,42.1143
"FRAL4",-71.01422,42.11705
"FRAL4",-70.98637,42.04698
"FRAL4",-70.9856,42.11613
"FRAL4",-70.98547,42.10517
"FRAL4",-70.98465,42.12645
"FRAL4",-70.98445,42.11682
"FRAL4",-70.98407,42.44556
"FRAL4",-70.9839,42.04637
"FRAL4",-70.98343,42.1089
"FRAL4",-70.98017,42.10288
"FRAL4",-70.97895,42.11767
"FRAL4",-70.9783,42.11465
"FRAL4",-70.97637,42.11678
"FRAL4",-70.97553,42.0964
"FRAL4",-70.95183,42.01862
"FRAL4",-70.93832,42.11108
"FRAL4",-70.93678,42.11255
"FRAL4",-70.93343,42.09083
"FRAL4",-70.93053,42.08563
"FRAL4",-70.9104,42.50264
"FRAL4",-70.90824,42.50437
"FRAL4",-70.87413,42.01815
"FRAL4",-70.8655,42.0291
"FRAL4",-70.85158,42.01923
"FRAL4",-70.84644,42.58954
"FRAL4",-70.82139,42.95083
"FRAL4",-70.81866,42.58121
"FRAL4",-70.81783,42.58176
"FRAL4",-70.81255,42.60315
"FRAL4",-70.81144,42.66732
"FRAL4",-70.81139,42.60494
"FRAL4",-70.80922,42.6712
"FRAL4",-70.80565,42.0916
"FRAL4",-70.79533,42.59093
"FRAL4",-70.79361,42.99417
"FRAL4",-70.78449,42.57303
"FRAL4",-70.78402,42.57373
"FRAL4",-70.78303,42.57273
"FRAL4",-70.75032,42.58315
"FRAL4",-70.5517,43.3369
"FRAL4",-70.54668,43.33249
"FRAL4",-70.46487,43.7199
"FRAL4",-70.43945,43.74678
"FRAL4",-70.4183,43.72562
"FRAL4",-70.38406,43.68178
"FRAL4",-70.36113,43.67897
"FRAL4",-70.35388,43.68237
"FRAL4",-70.31787,43.66601
"FRAL4",-70.31146,43.66321
"FRAL4",-70.31073,43.66261
"FRAL4",-70.29565,43.65516
"FRAL4",-70.26958,43.66057
"FRAL4",-70.26218,43.66672
"FRAL4",-70.24139,43.83472
"FRAL4",-70.23972,43.83556
"FRAL4",-70.23861,43.83583
"FRAL4",-70.22944,43.78528
"FRAL4",-70.22333,43.78528
"FRAL4",-70.22306,43.78167
"FRAL4",-70.19028,43.80694
"FRAL4",-70.18417,43.80306
"FRAL4",-70.18028,43.825
"FRAL4",-70.17778,43.79861
"FRAL4",-70.17556,43.79861
"FRAL4",-70.17389,43.83222
"FRAL4",-70.17361,43.83
"FRAL4",-69.75306,44.07875
"FRAL4",-69.73,43.7919
"FRAL4",-69.7179,43.7894
"FRAL4",-69.63,43.86
"FRAL4",-71.46392,44.47993
"FRAL4",-71.66474,44.24486
"FRAL4",-71.10707,44.13935
"FRAL4",-71.7752,41.6718
"FRAL4",-71.7742,41.6821
"FRAL4",-71.6879,41.5493
"FRAL4",-71.6141,41.6393
"FRAL4",-71.6128,41.6399
"FRAL4",-71.62917,43.86894
"FRAL4",-71.34788,44.0838
"FRAL4",-71.16049,44.02647
"FRAL4",-71.21563,44.16035
"FRAL4",-71.796,41.9372
"FRAL4",-71.7947,41.9299
"FRAL4",-71.7892,41.986
"FRAL4",-71.7885,41.9186
"FRAL4",-71.7874,41.9905
"FRAL4",-71.7873,41.9895
"FRAL4",-71.7872,41.9914
"FRAL4",-71.7863,41.6663
"FRAL4",-71.7673,41.9933
"FRAL4",-71.7632,41.9933
"FRAL4",-71.7628,41.9936
"FRAL4",-71.7627,41.9937
"FRAL4",-71.7462,41.95
"FRAL4",-71.6969,41.7103
"FRAL4",-71.6711,41.6784
"FRAL4",-71.6709,41.6788
"FRAL4",-71.5898,41.6275
"FRAL4",-70.27614,43.73725
"FRAL4",-69.07444,44.21083
"FRAL4",-73.22664,44.45368
"FRAL4",-72.85495,42.33259
"FRAL4",-72.85029,42.3417
"FRAL4",-72.65262,42.20208
"FRAL4",-72.54695,44.12706
"FRAL4",-71.83783,41.3305
"FRAL4",-71.5646,43.45573
"FRAL4",-71.50756,42.32259
"FRAL4",-71.48128,42.48178
"FRAL4",-71.4707,42.32037
"FRAL4",-71.46631,42.31932
"FRAL4",-71.4659,42.3199
"FRAL4",-71.36379,42.55022
"FRAL4",-71.35754,42.55888
"FRAL4",-71.35596,42.55949
"FRAL4",-71.35233,42.55947
"FRAL4",-71.35226,42.55394
"FRAL4",-71.35086,42.5581
"FRAL4",-71.33891,42.56044
"FRAL4",-71.26866,42.05121
"FRAL4",-71.22241,42.75524
"FRAL4",-71.18589,42.43482
"FRAL4",-71.1159,42.4663
"FRAL4",-71.05906,42.00109
"FRAL4",-71.04118,42.49541
"FRAL4",-70.81533,42.59204
"FRAL4",-70.81477,42.59121
"FRAL4",-70.81088,42.58982
"FRAL4",-70.76782,42.59676
"FRAL4",-70.76149,42.68009
"FRAL4",-70.23028,43.78417
"FRAL4",-70.18361,43.82333
"FRAL4",-70.17306,43.82972
"FRAL4",-69.10817,44.78126
"FRAL4",-71.7956,41.9962
"FRAL4",-71.788,41.9243
"FRAL4",-71.7856,41.9184
"FRAL4",-71.7642,41.9932
"FRAL4",-71.7637,41.9931
"FRAL4",-71.7626,41.9939
"FRAL4",-71.6977,41.7128
"FRAL4",-71.6706,41.6788
"FRAL4",-71.6697,41.6786
"FRAL4",-71.6695,41.6785
"FRAL4",-71.6021,41.6486
"FRAL4",-71.87768,43.83923
"FRAL4",-71.15623,44.03194
"FRAL4",-71.19045,44.05796
"FRAL4",-72.24261,43.70355
"FRAL4",-71.21595,44.15499
"FRAL4",-71.22834,44.18053
"FRAL4",-71.7943,42.0006
"FRAL4",-71.7852,41.9185
"FRAL4",-71.6702,41.6787
"FRAL4",-71.7884,41.9185
"FRAL4",-71.6991,41.7124
"FRAL4",-71.6088,41.632
"FRAL4",-73.22662,44.45436
"FRAL4",-72.47631,42.93683
"FRAL4",-72.17088,43.00019
"FRAL4",-71.83831,41.33041
"FRAL4",-71.51534,42.25426
"FRAL4",-71.43014,42.28098
"FRAL4",-71.41139,41.69583
"FRAL4",-71.35396,42.55503
"FRAL4",-71.33874,42.558
"FRAL4",-71.33418,42.55613
"FRAL4",-71.3172,42.5296
"FRAL4",-70.77116,42.59482
"FRAL4",-70.18556,43.82167
"FRAL4",-70.18417,43.82278
"FRAL4",-70.17472,43.79889
"FRAL4",-70.17194,43.82694
"FRAL4",-71.699,41.7123
"FRAL4",-73.22849,44.45439
"FRAL4",-73.22237,44.44622
"FRAL4",-73.22093,44.4516
"FRAL4",-73.18675,44.47748
"FRAL4",-72.85588,42.33668
"FRAL4",-72.85383,42.33507
"FRAL4",-72.85207,42.33579
"FRAL4",-72.84853,42.34208
"FRAL4",-72.84792,42.34221
"FRAL4",-72.84788,42.33898
"FRAL4",-72.84709,42.33991
